,user,fit,satisfy,
1,13,14,-0.2,2
2,14,13,1,5
3,15,12,1,5
4,18,12,0.6,4
5,12,18,1,5
6,12,15,1,5
7,18,15,0.6,4
8,15,18,1,5
9,20,19,1,5
10,20,205,1,5
11,19,205,1,5
12,19,20,0.2,3
13,205,19,1,5
14,205,20,1,5
15,2,122,1,5
16,2,88,1,5
17,88,2,1,5
18,88,122,1,5
19,122,2,1,5
20,122,88,1,5
21,5,6,0.2,3
22,6,5,0.6,4
23,26,35,0.6,4
24,26,41,0.6,4
25,35,219,1,5
26,35,41,0.2,3
27,41,219,1,5
28,41,35,1,5
29,26,219,1,5
30,30,31,0.6,4
31,31,30,1,5
32,35,188,1,5
33,188,35,1,5
34,70,42,1,5
35,42,70,1,5
36,97,48,1,5
37,48,97,1,5
38,51,101,0.6,4
39,101,51,0.6,4
40,219,35,0.6,4
41,219,41,0.6,4
42,55,58,0.6,4
43,58,55,0.6,4
44,61,71,1,5
45,71,61,1,5
46,63,80,0.6,4
47,80,63,1,5
48,64,69,0.6,4
49,69,64,1,5
50,66,68,1,5
51,66,102,1,5
52,68,66,1,5
53,68,102,1,5
54,102,66,1,5
55,102,68,1,5
56,73,74,1,5
57,52,76,0.6,4
58,85,87,1,5
59,85,143,1,5
60,85,185,0.4,3.5
61,87,85,0.6,4
62,87,143,1,5
63,87,185,0.6,4
64,143,85,0.6,4
65,143,87,1,5
66,143,185,0.6,4
67,185,143,1,5
68,185,87,1,5
69,185,85,1,5
70,107,115,0.2,3
71,107,121,1,5
72,115,107,1,5
73,115,121,1,5
74,121,107,1,5
75,121,115,1,5
76,110,111,0.8,4.5
77,111,110,0.6,4
78,106,120,1,5
79,120,106,0.6,4
80,132,131,0.8,4.5
81,131,132,0.2,3
82,134,179,0.2,3
83,179,134,0.6,4
84,141,162,0.6,4
85,138,184,0.6,4
86,162,141,0.2,3
87,144,148,1,5
88,144,196,1,5
89,148,144,0.2,3
90,148,196,1,5
91,196,144,-1,0
92,196,148,1,5
93,135,147,1,5
94,135,210,1,5
95,147,135,0.6,4
96,147,210,0.6,4
97,210,135,0.2,3
98,210,147,0.6,4
99,150,142,0.6,4
100,150,147,1,5
101,150,135,0.2,3
102,158,161,1,5
103,158,166,1,5
104,161,158,1,5
105,161,166,1,5
106,166,158,1,5
107,166,161,1,5
108,165,171,1,5
109,165,175,0.6,4
110,171,165,1,5
111,171,175,1,5
112,175,171,1,5
113,175,165,1,5
114,170,190,0.6,4
115,190,170,1,5
116,173,180,0.6,4
117,180,173,1,5
118,117,182,0.6,4
119,182,117,0.6,4
120,129,178,1,5
121,168,186,1,5
122,178,129,0.2,3
123,168,202,1,5
124,194,178,1,5
125,194,129,1,5
126,186,168,1,5
127,186,202,1,5
128,202,168,0.2,3
129,202,186,0.6,4
130,191,212,0.6,4
131,212,191,0.8,4.5
132,199,209,0.6,4
133,209,199,0.6,4
